INFO 2025-09-26 16:00:59,609 database 35541 8496695296 Database initialized successfully
INFO 2025-09-26 22:48:53,545 autoreload 17084 6308 Watching for file changes with StatReloader
INFO 2025-09-26 22:48:53,590 database 17084 6308 Database initialized successfully
INFO 2025-09-26 22:49:25,269 database 16560 7160 Database initialized successfully
INFO 2025-09-26 22:49:47,360 database 20276 15336 Database initialized successfully
INFO 2025-09-26 22:50:00,454 autoreload 6348 15996 Watching for file changes with StatReloader
INFO 2025-09-26 22:50:00,469 database 6348 15996 Database initialized successfully
INFO 2025-09-26 22:50:24,039 middleware 6348 12068 Request: GET / from 127.0.0.1
INFO 2025-09-26 22:50:24,053 middleware 6348 12068 Response: 200 for GET /
INFO 2025-09-26 22:50:24,053 basehttp 6348 12068 "GET / HTTP/1.1" 200 15216
INFO 2025-09-26 22:50:24,492 middleware 6348 12068 Request: GET /api/tasks/list/ from 127.0.0.1
INFO 2025-09-26 22:50:24,494 database 6348 12068 Retrieved 0 tasks
INFO 2025-09-26 22:50:24,494 views 6348 12068 Retrieved 0 tasks
INFO 2025-09-26 22:50:24,497 middleware 6348 12068 Response: 200 for GET /api/tasks/list/
INFO 2025-09-26 22:50:24,499 basehttp 6348 12068 "GET /api/tasks/list/ HTTP/1.1" 200 78
INFO 2025-09-26 22:50:24,933 middleware 6348 12068 Request: GET /favicon.ico from 127.0.0.1
INFO 2025-09-26 22:50:25,022 middleware 6348 12068 Response: 404 for GET /favicon.ico
WARNING 2025-09-26 22:50:25,023 log 6348 12068 Not Found: /favicon.ico
WARNING 2025-09-26 22:50:25,024 basehttp 6348 12068 "GET /favicon.ico HTTP/1.1" 404 3412
INFO 2025-09-26 22:50:27,909 middleware 6348 12068 Request: GET /api/tasks/list/ from 127.0.0.1
INFO 2025-09-26 22:50:27,911 database 6348 12068 Retrieved 0 tasks
INFO 2025-09-26 22:50:27,911 views 6348 12068 Retrieved 0 tasks
INFO 2025-09-26 22:50:27,914 middleware 6348 12068 Response: 200 for GET /api/tasks/list/
INFO 2025-09-26 22:50:27,916 basehttp 6348 12068 "GET /api/tasks/list/ HTTP/1.1" 200 78
INFO 2025-09-26 22:50:29,218 middleware 6348 12068 Request: GET /api/tasks/list/ from 127.0.0.1
INFO 2025-09-26 22:50:29,220 database 6348 12068 Retrieved 0 tasks with status: pending
INFO 2025-09-26 22:50:29,221 views 6348 12068 Retrieved 0 tasks
INFO 2025-09-26 22:50:29,224 middleware 6348 12068 Response: 200 for GET /api/tasks/list/
INFO 2025-09-26 22:50:29,225 basehttp 6348 12068 "GET /api/tasks/list/?status=pending HTTP/1.1" 200 78
INFO 2025-09-26 22:50:30,505 middleware 6348 12068 Request: GET /api/tasks/list/ from 127.0.0.1
INFO 2025-09-26 22:50:30,507 database 6348 12068 Retrieved 0 tasks with status: in_progress
INFO 2025-09-26 22:50:30,508 views 6348 12068 Retrieved 0 tasks
INFO 2025-09-26 22:50:30,509 middleware 6348 12068 Response: 200 for GET /api/tasks/list/
INFO 2025-09-26 22:50:30,511 basehttp 6348 12068 "GET /api/tasks/list/?status=in_progress HTTP/1.1" 200 78
INFO 2025-09-26 22:50:31,704 middleware 6348 12068 Request: GET /api/tasks/list/ from 127.0.0.1
INFO 2025-09-26 22:50:31,706 database 6348 12068 Retrieved 0 tasks with status: completed
INFO 2025-09-26 22:50:31,706 views 6348 12068 Retrieved 0 tasks
INFO 2025-09-26 22:50:31,709 middleware 6348 12068 Response: 200 for GET /api/tasks/list/
INFO 2025-09-26 22:50:31,710 basehttp 6348 12068 "GET /api/tasks/list/?status=completed HTTP/1.1" 200 78
INFO 2025-09-26 22:50:33,885 middleware 6348 12068 Request: GET /api/tasks/list/ from 127.0.0.1
INFO 2025-09-26 22:50:33,887 database 6348 12068 Retrieved 0 tasks
INFO 2025-09-26 22:50:33,888 views 6348 12068 Retrieved 0 tasks
INFO 2025-09-26 22:50:33,891 middleware 6348 12068 Response: 200 for GET /api/tasks/list/
INFO 2025-09-26 22:50:33,892 basehttp 6348 12068 "GET /api/tasks/list/ HTTP/1.1" 200 78
INFO 2025-09-26 22:50:34,971 middleware 6348 12068 Request: GET /api/tasks/list/ from 127.0.0.1
INFO 2025-09-26 22:50:34,974 database 6348 12068 Retrieved 0 tasks with status: pending
INFO 2025-09-26 22:50:34,974 views 6348 12068 Retrieved 0 tasks
INFO 2025-09-26 22:50:34,976 middleware 6348 12068 Response: 200 for GET /api/tasks/list/
INFO 2025-09-26 22:50:34,977 basehttp 6348 12068 "GET /api/tasks/list/?status=pending HTTP/1.1" 200 78
INFO 2025-09-26 22:50:36,115 middleware 6348 12068 Request: GET /api/tasks/list/ from 127.0.0.1
INFO 2025-09-26 22:50:36,117 database 6348 12068 Retrieved 0 tasks with status: in_progress
INFO 2025-09-26 22:50:36,119 views 6348 12068 Retrieved 0 tasks
INFO 2025-09-26 22:50:36,120 middleware 6348 12068 Response: 200 for GET /api/tasks/list/
INFO 2025-09-26 22:50:36,121 basehttp 6348 12068 "GET /api/tasks/list/?status=in_progress HTTP/1.1" 200 78
INFO 2025-09-26 22:50:37,178 middleware 6348 12068 Request: GET /api/tasks/list/ from 127.0.0.1
INFO 2025-09-26 22:50:37,179 database 6348 12068 Retrieved 0 tasks with status: completed
INFO 2025-09-26 22:50:37,180 views 6348 12068 Retrieved 0 tasks
INFO 2025-09-26 22:50:37,182 middleware 6348 12068 Response: 200 for GET /api/tasks/list/
INFO 2025-09-26 22:50:37,184 basehttp 6348 12068 "GET /api/tasks/list/?status=completed HTTP/1.1" 200 78
INFO 2025-09-26 22:50:38,955 middleware 6348 12068 Request: GET /api/tasks/list/ from 127.0.0.1
INFO 2025-09-26 22:50:38,957 database 6348 12068 Retrieved 0 tasks
INFO 2025-09-26 22:50:38,957 views 6348 12068 Retrieved 0 tasks
INFO 2025-09-26 22:50:38,959 middleware 6348 12068 Response: 200 for GET /api/tasks/list/
INFO 2025-09-26 22:50:38,960 basehttp 6348 12068 "GET /api/tasks/list/ HTTP/1.1" 200 78
INFO 2025-09-27 12:37:04,809 autoreload 12584 10772 Watching for file changes with StatReloader
INFO 2025-09-27 12:37:04,837 database 12584 10772 Database initialized successfully
INFO 2025-09-27 12:37:21,232 middleware 12584 16592 Request: GET / from 127.0.0.1
INFO 2025-09-27 12:37:21,394 middleware 12584 16592 Response: 200 for GET /
INFO 2025-09-27 12:37:21,395 basehttp 12584 16592 "GET / HTTP/1.1" 200 15216
INFO 2025-09-27 12:37:21,440 middleware 12584 16592 Request: GET /api/tasks/list/ from 127.0.0.1
INFO 2025-09-27 12:37:21,442 database 12584 16592 Retrieved 0 tasks
INFO 2025-09-27 12:37:21,444 views 12584 16592 Retrieved 0 tasks
INFO 2025-09-27 12:37:21,444 middleware 12584 16592 Response: 200 for GET /api/tasks/list/
